% start(s)	end(s)	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay(s)	stdDev(s)	min(s)	max(s)	PduSize	stdDev	min	max
0	0.25	2	1	5	3	109	1531754	109	1531754	0.00494862	0.00314854	0.00238571	0.0130286	14052.8	6148.47	697	24176	
0	0.25	2	2	4	3	117	1531766	117	1531766	0.00504627	0.00312252	0.00224286	0.0130286	13092	6553.85	463	24176	
0	0.25	2	3	3	3	193	1531934	186	1409922	0.00569638	0.00422403	0.00245714	0.0200286	7580.23	9885.46	463	96710	
0	0.25	2	4	2	3	180	1531908	177	1485049	0.00559515	0.00437962	0.00267142	0.0200286	8390.11	7383.89	463	32234	
0	0.25	2	5	1	3	181	1531909	172	1349719	0.00568554	0.00360901	0.00295714	0.0200286	7847.2	9276.12	463	32234	
0	0.25	4	6	5	3	127	1531801	127	1531801	0.00399145	0.00256712	0.00224286	0.00902856	12061.4	4377.01	697	19709	
0	0.25	4	7	4	3	130	1531790	129	1507614	0.00547375	0.00414922	0.00245714	0.0190286	11686.9	7364.54	463	24176	
0	0.25	4	8	3	3	186	1531915	172	1316887	0.00722582	0.00482389	0.00231428	0.0210286	7656.32	8825.02	463	48353	
0	0.25	4	9	2	3	187	1531930	180	1374528	0.0052234	0.00410092	0.00281428	0.0200286	7636.27	10789.9	463	96146	
0	0.25	4	10	1	3	100	1531724	100	1531724	0.00302356	1.83165e-05	0.00295714	0.00302856	15317.2	3428.32	463	16115	
